freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
1,2130588E+003	1,5893777E+003	1,2042863E+002
1,1853799E+003	1,5897384E+003	1,2038244E+002
1,1581481E+003	1,5899194E+003	1,2030622E+002
1,1318103E+003	1,5893898E+003	1,2112318E+002
1,1060610E+003	1,5902996E+003	1,2092010E+002
1,0810345E+003	1,5902301E+003	1,2155745E+002
1,0560155E+003	1,5903436E+003	1,2145551E+002
1,0323152E+003	1,5910537E+003	1,2215291E+002
1,0083839E+003	1,5907991E+003	1,2219327E+002
9,8531696E+002	1,5914432E+003	1,2276320E+002
9,6284601E+002	1,5906508E+003	1,2321519E+002
9,4090399E+002	1,5912914E+003	1,2475983E+002
9,1970709E+002	1,5920278E+003	1,2515709E+002
8,9856238E+002	1,5913413E+003	1,2628666E+002
8,7803601E+002	1,5925094E+003	1,2609028E+002
8,5807593E+002	1,5921970E+003	1,2719862E+002
8,3865973E+002	1,5922487E+003	1,2843016E+002
8,1973523E+002	1,5926033E+003	1,2922884E+002
8,0076605E+002	1,5928307E+003	1,3137314E+002
7,8274310E+002	1,5934333E+003	1,3211613E+002
7,6475739E+002	1,5932928E+003	1,3285062E+002
7,4715167E+002	1,5932316E+003	1,3490567E+002
7,3023138E+002	1,5933470E+003	1,3567578E+002
7,1385504E+002	1,5946506E+003	1,3718040E+002
6,9745483E+002	1,5937891E+003	1,3862144E+002
6,8152698E+002	1,5945580E+003	1,4084418E+002
6,6606549E+002	1,5949608E+003	1,4248131E+002
6,5062494E+002	1,5942593E+003	1,4444389E+002
6,3601733E+002	1,5944568E+003	1,4635423E+002
6,2139185E+002	1,5956102E+003	1,4778291E+002
6,0713739E+002	1,5953235E+003	1,4925642E+002
5,9329120E+002	1,5961637E+003	1,5187054E+002
5,7981464E+002	1,5956614E+003	1,5448067E+002
5,6663153E+002	1,5959684E+003	1,5551631E+002
5,5375995E+002	1,5962838E+003	1,5847383E+002
5,4121240E+002	1,5978453E+003	1,6105984E+002
5,2881537E+002	1,5970912E+003	1,6286562E+002
5,1681921E+002	1,5967445E+003	1,6612184E+002
5,0483868E+002	1,5973573E+003	1,6850021E+002
4,9357861E+002	1,5981033E+003	1,7118198E+002
4,8231482E+002	1,5985010E+003	1,7407545E+002
4,7135727E+002	1,5980824E+003	1,7655972E+002
4,6044217E+002	1,5989491E+003	1,7938544E+002
4,4985638E+002	1,5992219E+003	1,8342090E+002
4,3985919E+002	1,5989924E+003	1,8672784E+002
4,2958780E+002	1,5998829E+003	1,8950021E+002
4,1986554E+002	1,6001124E+003	1,9342488E+002
4,1039362E+002	1,6006565E+003	1,9621458E+002
4,0089786E+002	1,6005345E+003	2,0066731E+002
3,9188116E+002	1,6015281E+003	2,0360750E+002
3,8291663E+002	1,6017389E+003	2,0753337E+002
3,7416220E+002	1,6027587E+003	2,1220506E+002
3,6558508E+002	1,6032740E+003	2,1562224E+002
3,5740137E+002	1,6032623E+003	2,1997318E+002
3,4921765E+002	1,6036041E+003	2,2415643E+002
3,4120084E+002	1,6048606E+003	2,2847139E+002
3,3339932E+002	1,6053752E+003	2,3264656E+002
3,2572971E+002	1,6057428E+003	2,3771463E+002
3,1847134E+002	1,6070750E+003	2,4166560E+002
3,1109528E+002	1,6082787E+003	2,4708633E+002
3,0412375E+002	1,6074510E+003	2,5196907E+002
2,9718726E+002	1,6089276E+003	2,5654688E+002
2,9027835E+002	1,6094661E+003	2,6284869E+002
2,8381943E+002	1,6098049E+003	2,6752228E+002
2,7721747E+002	1,6109489E+003	2,7367200E+002
2,7095377E+002	1,6113983E+003	2,7892160E+002
2,6474594E+002	1,6131147E+003	2,8479132E+002
2,5875790E+002	1,6142527E+003	2,9060254E+002
2,5281534E+002	1,6151499E+003	2,9634229E+002
2,4713501E+002	1,6159124E+003	3,0320551E+002
2,4146811E+002	1,6171821E+003	3,0930396E+002
2,3598149E+002	1,6188297E+003	3,1592877E+002
2,3051649E+002	1,6202423E+003	3,2281845E+002
2,2536069E+002	1,6206769E+003	3,2946994E+002
2,2021159E+002	1,6222230E+003	3,3646759E+002
2,1520630E+002	1,6237761E+003	3,4392285E+002
2,1020174E+002	1,6247501E+003	3,5061481E+002
2,0546019E+002	1,6268273E+003	3,5882919E+002
2,0070673E+002	1,6281577E+003	3,6619958E+002
1,9619316E+002	1,6304032E+003	3,7433774E+002
1,9165576E+002	1,6316957E+003	3,8230957E+002
1,8733815E+002	1,6337517E+003	3,9102777E+002
1,8306673E+002	1,6358728E+003	3,9870908E+002
1,7891228E+002	1,6374449E+003	4,0779034E+002
1,7483235E+002	1,6392047E+003	4,1716434E+002
1,7082021E+002	1,6421072E+003	4,2526071E+002
1,6697720E+002	1,6436285E+003	4,3421872E+002
1,6317218E+002	1,6468815E+003	4,4382095E+002
1,5943871E+002	1,6491373E+003	4,5370731E+002
1,5574768E+002	1,6511118E+003	4,6436963E+002
1,5219151E+002	1,6553418E+003	4,7389413E+002
1,4880971E+002	1,6574055E+003	4,8422278E+002
1,4541895E+002	1,6607755E+003	4,9376208E+002
1,4204532E+002	1,6635450E+003	5,0544705E+002
1,3880060E+002	1,6663400E+003	5,1549274E+002
1,3565123E+002	1,6710964E+003	5,2757275E+002
1,3258159E+002	1,6732919E+003	5,3871613E+002
1,2954399E+002	1,6774908E+003	5,5051788E+002
1,2657941E+002	1,6824629E+003	5,6257593E+002
1,2369379E+002	1,6852687E+003	5,7431421E+002
1,2088940E+002	1,6910842E+003	5,8657532E+002
1,1814758E+002	1,6952069E+003	5,9945282E+002
1,1540652E+002	1,6989301E+003	6,1225671E+002
1,1279807E+002	1,7038510E+003	6,2561908E+002
1,1024699E+002	1,7096638E+003	6,3905463E+002
1,0769144E+002	1,7138682E+003	6,5271735E+002
1,0523573E+002	1,7200841E+003	6,6649060E+002
1,0286048E+002	1,7248915E+003	6,8066602E+002
1,0054707E+002	1,7312679E+003	6,9524030E+002
9,8208336E+001	1,7381224E+003	7,0990985E+002
9,6014145E+001	1,7449303E+003	7,2469666E+002
9,3828888E+001	1,7520776E+003	7,3935571E+002
9,1671944E+001	1,7588802E+003	7,5488568E+002
8,9570137E+001	1,7668368E+003	7,7006201E+002
8,7507813E+001	1,7737374E+003	7,8666290E+002
8,5519997E+001	1,7818978E+003	8,0396185E+002
8,3582100E+001	1,7906316E+003	8,1918909E+002
8,1699341E+001	1,7992302E+003	8,3610406E+002
7,9821053E+001	1,8079141E+003	8,5199567E+002
7,7978523E+001	1,8180558E+003	8,7094110E+002
7,6244026E+001	1,8288870E+003	8,8736346E+002
7,4499100E+001	1,8376158E+003	9,0554364E+002
7,2786957E+001	1,8492626E+003	9,2283209E+002
7,1115044E+001	1,8623628E+003	9,4311829E+002
6,9488586E+001	1,8734673E+003	9,6051361E+002
6,7934769E+001	1,8859674E+003	9,7946289E+002
6,6380722E+001	1,8985468E+003	9,9823230E+002
6,4854698E+001	1,9118589E+003	1,0180551E+003
6,3397289E+001	1,9247968E+003	1,0364247E+003
6,1922073E+001	1,9396580E+003	1,0564384E+003
6,0522930E+001	1,9539938E+003	1,0759191E+003
5,9148296E+001	1,9694233E+003	1,0951429E+003
5,7798996E+001	1,9843944E+003	1,1151665E+003
5,6463554E+001	2,0007589E+003	1,1355631E+003
5,5194275E+001	2,0175565E+003	1,1549872E+003
5,3946972E+001	2,0355992E+003	1,1748685E+003
5,2690060E+001	2,0535176E+003	1,1957455E+003
5,1499680E+001	2,0722156E+003	1,2161099E+003
5,0338284E+001	2,0927439E+003	1,2365792E+003
4,9197079E+001	2,1114387E+003	1,2562664E+003
4,8047379E+001	2,1330286E+003	1,2770468E+003
4,6968906E+001	2,1538716E+003	1,2971536E+003
4,5895874E+001	2,1760020E+003	1,3183557E+003
4,4842140E+001	2,1989807E+003	1,3381537E+003
4,3835716E+001	2,2218071E+003	1,3581683E+003
4,2821243E+001	2,2469924E+003	1,3789639E+003
4,1862057E+001	2,2715615E+003	1,3988441E+003
4,0903168E+001	2,2973401E+003	1,4183966E+003
3,9961636E+001	2,3244490E+003	1,4383286E+003
3,9062500E+001	2,3506406E+003	1,4577415E+003
3,8156284E+001	2,3785037E+003	1,4765956E+003
